Date,Price
10/03/2022,"1,664.65"
10/02/2022,"1,664.24"
09/30/2022,"1,659.67"
09/29/2022,"1,660.29"
09/28/2022,"1,659.44"
09/27/2022,"1,628.80"
09/26/2022,"1,621.57"
09/23/2022,"1,643.09"
09/22/2022,"1,670.53"
09/21/2022,"1,673.74"
09/20/2022,"1,663.11"
09/19/2022,"1,675.78"
09/16/2022,"1,674.94"
09/15/2022,"1,663.74"
09/14/2022,"1,695.80"
09/13/2022,"1,701.55"
09/12/2022,"1,724.07"
09/09/2022,"1,716.05"
09/08/2022,"1,707.28"
09/07/2022,"1,717.69"
09/06/2022,"1,701.15"
09/05/2022,"1,710.21"
09/02/2022,"1,711.44"
09/01/2022,"1,696.09"
08/31/2022,"1,710.70"
08/30/2022,"1,723.55"
08/29/2022,"1,737.82"
08/26/2022,"1,736.86"
08/25/2022,"1,758.44"
08/24/2022,"1,750.89"
08/23/2022,"1,747.67"
08/22/2022,"1,735.70"
08/19/2022,"1,747.83"
08/18/2022,"1,758.20"
08/17/2022,"1,761.05"
08/16/2022,"1,775.54"
08/15/2022,"1,779.36"
08/12/2022,"1,801.76"
08/11/2022,"1,789.45"
08/10/2022,"1,792.13"
08/09/2022,"1,794.08"
08/08/2022,"1,788.52"
08/05/2022,"1,774.15"
08/04/2022,"1,790.97"
08/03/2022,"1,764.90"
08/02/2022,"1,759.75"
08/01/2022,"1,771.73"
07/29/2022,"1,765.22"
07/28/2022,"1,755.11"
07/27/2022,"1,733.89"
07/26/2022,"1,717.00"
07/25/2022,"1,718.78"
07/22/2022,"1,726.46"
07/21/2022,"1,718.49"
07/20/2022,"1,696.43"
07/19/2022,"1,711.07"
07/18/2022,"1,709.01"
07/15/2022,"1,706.78"
07/14/2022,"1,709.45"
07/13/2022,"1,735.23"
07/12/2022,"1,725.81"
07/11/2022,"1,733.67"
07/08/2022,"1,741.82"
07/07/2022,"1,739.61"
07/06/2022,"1,738.30"
07/05/2022,"1,764.35"
07/04/2022,"1,809.12"
07/01/2022,"1,810.18"
06/30/2022,"1,806.89"
06/29/2022,"1,817.11"
06/28/2022,"1,819.69"
06/27/2022,"1,822.73"
06/24/2022,"1,826.18"
06/23/2022,"1,822.43"
06/22/2022,"1,837.39"
06/21/2022,"1,832.56"
06/20/2022,"1,838.29"
06/17/2022,"1,839.35"
06/16/2022,"1,856.71"
06/15/2022,"1,833.38"
06/14/2022,"1,808.10"
06/13/2022,"1,818.77"
06/10/2022,"1,870.96"
06/09/2022,"1,847.61"
06/08/2022,"1,853.26"
06/07/2022,"1,851.97"
06/06/2022,"1,841.00"
06/03/2022,"1,850.77"
06/02/2022,"1,868.13"
06/01/2022,"1,845.55"
05/31/2022,"1,837.09"
05/30/2022,"1,856.21"
05/27/2022,"1,852.73"
05/26/2022,"1,849.82"
05/25/2022,"1,852.83"
05/24/2022,"1,865.90"
05/23/2022,"1,853.22"
05/20/2022,"1,845.68"
05/19/2022,"1,841.72"
05/18/2022,"1,815.61"
05/17/2022,"1,814.67"
05/16/2022,"1,823.79"
05/13/2022,"1,811.15"
05/12/2022,"1,821.65"
05/11/2022,"1,852.12"
05/10/2022,"1,838.14"
05/09/2022,"1,853.92"
05/06/2022,"1,882.96"
05/05/2022,"1,877.01"
05/04/2022,"1,881.21"
05/03/2022,"1,867.79"
05/02/2022,"1,862.77"
04/29/2022,"1,896.40"
04/28/2022,"1,894.34"
04/27/2022,"1,885.74"
04/26/2022,"1,905.56"
04/25/2022,"1,897.69"
04/22/2022,"1,929.73"
04/21/2022,"1,951.49"
04/20/2022,"1,957.41"
04/19/2022,"1,949.84"
04/18/2022,"1,978.50"
04/15/2022,"1,974.54"
04/14/2022,"1,973.52"
04/13/2022,"1,977.72"
04/12/2022,"1,966.59"
04/11/2022,"1,953.43"
04/08/2022,"1,945.85"
04/07/2022,"1,932.17"
04/06/2022,"1,925.32"
04/05/2022,"1,923.53"
04/04/2022,"1,932.44"
04/01/2022,"1,924.30"
03/31/2022,"1,937.23"
03/30/2022,"1,933.06"
03/29/2022,"1,919.19"
03/28/2022,"1,923.20"
03/25/2022,"1,957.40"
03/24/2022,"1,957.48"
03/23/2022,"1,943.42"
03/22/2022,"1,921.44"
03/21/2022,"1,935.95"
03/18/2022,"1,921.09"
03/17/2022,"1,942.64"
03/16/2022,"1,927.93"
03/15/2022,"1,917.84"
03/14/2022,"1,951.11"
03/11/2022,"1,985.29"
03/10/2022,"1,995.86"
03/09/2022,"1,991.49"
03/08/2022,"2,052.41"
03/07/2022,"1,998.11"
03/04/2022,"1,968.45"
03/03/2022,"1,935.21"
03/02/2022,"1,926.11"
03/01/2022,"1,943.22"
02/28/2022,"1,907.90"
02/25/2022,"1,887.56"
02/24/2022,"1,903.14"
02/23/2022,"1,907.55"
02/22/2022,"1,898.13"
02/21/2022,"1,905.63"
02/18/2022,"1,897.87"
02/17/2022,"1,897.27"
02/16/2022,"1,868.37"
02/15/2022,"1,853.06"
02/14/2022,"1,870.29"
02/11/2022,"1,859.96"
02/10/2022,"1,826.57"
02/09/2022,"1,832.43"
02/08/2022,"1,825.48"
02/07/2022,"1,820.31"
02/04/2022,"1,807.49"
02/03/2022,"1,804.40"
02/02/2022,"1,806.50"
02/01/2022,"1,800.65"
01/31/2022,"1,796.47"
01/28/2022,"1,791.03"
01/27/2022,"1,796.51"
01/26/2022,"1,818.12"
01/25/2022,"1,847.56"
01/24/2022,"1,843.06"
01/21/2022,"1,833.24"
01/20/2022,"1,838.36"
01/19/2022,"1,839.96"
01/18/2022,"1,813.54"
01/17/2022,"1,818.99"
01/14/2022,"1,817.22"
01/13/2022,"1,822.09"
01/12/2022,"1,825.32"
01/11/2022,"1,822.01"
01/10/2022,"1,801.41"
01/07/2022,"1,795.63"
01/06/2022,"1,788.68"
01/05/2022,"1,809.53"
01/04/2022,"1,814.56"
01/03/2022,"1,800.85"
12/31/2021,"1,828.39"
12/30/2021,"1,815.01"
12/29/2021,"1,803.66"
12/28/2021,"1,805.37"
12/27/2021,"1,810.90"
12/24/2021,"1,808.11"
12/23/2021,"1,807.91"
12/22/2021,"1,803.40"
12/21/2021,"1,788.36"
12/20/2021,"1,789.32"
12/17/2021,"1,797.68"
12/16/2021,"1,799.03"
12/15/2021,"1,777.06"
12/14/2021,"1,770.18"
12/13/2021,"1,786.94"
12/10/2021,"1,782.51"
12/09/2021,"1,774.46"
12/08/2021,"1,782.06"
12/07/2021,"1,784.04"
12/06/2021,"1,778.11"
12/03/2021,"1,783.74"
12/02/2021,"1,768.64"
12/01/2021,"1,782.66"
11/30/2021,"1,773.78"
11/29/2021,"1,785.01"
11/26/2021,"1,791.81"
11/25/2021,"1,788.45"
11/24/2021,"1,788.50"
11/23/2021,"1,789.73"
11/22/2021,"1,805.04"
11/19/2021,"1,844.60"
11/18/2021,"1,858.46"
11/17/2021,"1,866.96"
11/16/2021,"1,849.91"
11/15/2021,"1,862.46"
11/12/2021,"1,864.04"
11/11/2021,"1,861.52"
11/10/2021,"1,849.57"
11/09/2021,"1,831.48"
11/08/2021,"1,824.26"
11/05/2021,"1,816.73"
11/04/2021,"1,791.70"
11/03/2021,"1,769.52"
11/02/2021,"1,787.28"
11/01/2021,"1,793.05"
10/29/2021,"1,782.81"
10/28/2021,"1,798.62"
10/27/2021,"1,796.69"
10/26/2021,"1,792.63"
10/25/2021,"1,807.47"
10/22/2021,"1,792.48"
10/21/2021,"1,782.76"
10/20/2021,"1,781.83"
10/19/2021,"1,768.87"
10/18/2021,"1,764.60"
10/15/2021,"1,767.26"
10/14/2021,"1,795.56"
10/13/2021,"1,792.65"
10/12/2021,"1,759.93"
10/11/2021,"1,753.86"
10/08/2021,"1,756.67"
10/07/2021,"1,755.29"
10/06/2021,"1,762.48"
10/05/2021,"1,759.96"
10/04/2021,"1,769.51"
