"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2022","174.78","177.83","182.94","154.70","2.11B","-1.57%"
"12/01/2021","177.57","167.48","182.13","157.80","2.45B","7.42%"
"11/01/2021","165.30","148.99","165.70","147.48","1.69B","10.35%"
"10/01/2021","149.80","141.90","153.16","138.27","1.57B","5.87%"
"09/01/2021","141.50","152.83","157.26","141.27","1.80B","-6.80%"
"08/01/2021","151.83","146.36","153.49","144.50","1.46B","4.09%"
"07/01/2021","145.86","136.60","150.00","135.76","1.92B","6.50%"
"06/01/2021","136.96","125.08","137.41","123.13","1.61B","9.91%"
"05/01/2021","124.61","132.04","134.07","122.25","1.71B","-5.21%"
"04/01/2021","131.46","123.66","137.07","122.49","1.89B","7.62%"
"03/01/2021","122.15","123.75","128.72","116.21","2.65B","0.73%"
"02/01/2021","121.26","133.75","137.88","118.39","1.83B","-8.11%"
"01/01/2021","131.96","133.52","145.09","126.38","2.24B","-0.55%"
"12/01/2020","132.69","121.01","138.79","120.01","2.32B","11.46%"
"11/01/2020","119.05","109.11","121.99","107.32","2.12B","9.36%"
"10/01/2020","108.86","117.64","125.39","107.72","2.90B","-6.00%"
"09/01/2020","115.81","132.76","137.98","103.10","3.89B","-10.25%"
"08/01/2020","129.04","108.20","131.00","107.89","4.07B","21.44%"
"07/01/2020","106.26","91.28","106.42","89.14","3.02B","16.51%"
"06/01/2020","91.20","79.44","93.09","79.30","3.24B","14.75%"
"05/01/2020","79.48","71.56","81.06","71.46","2.81B","8.21%"
"04/01/2020","73.45","61.62","73.63","59.23","3.27B","15.54%"
"03/01/2020","63.57","70.57","76.00","53.15","6.28B","-6.98%"
"02/01/2020","68.34","76.08","81.81","64.09","3.02B","-11.68%"
"01/01/2020","77.38","74.06","81.96","73.19","2.94B","5.41%"
"12/01/2019","73.41","66.82","73.49","64.07","2.40B","9.88%"
"11/01/2019","66.81","62.38","67.00","62.29","1.80B","7.43%"
"10/01/2019","62.19","56.27","62.44","53.78","2.49B","11.07%"
"09/01/2019","55.99","51.61","56.60","51.05","2.19B","7.28%"
"08/01/2019","52.19","53.48","54.51","48.15","2.73B","-2.01%"
"07/01/2019","53.26","50.79","55.34","49.60","1.90B","7.64%"
"06/01/2019","49.48","43.90","50.39","42.57","2.06B","13.05%"
"05/01/2019","43.77","52.47","53.83","43.75","2.96B","-12.76%"
"04/01/2019","50.17","47.91","52.12","47.09","2.02B","5.64%"
"03/01/2019","47.49","43.57","49.42","42.38","2.60B","9.70%"
"02/01/2019","43.29","41.74","43.97","41.48","1.89B","4.04%"
"01/01/2019","41.61","38.72","42.25","35.50","3.31B","5.50%"
"12/01/2018","39.44","46.12","46.23","36.65","3.60B","-11.67%"
"11/01/2018","44.65","54.76","55.59","42.56","3.85B","-18.40%"
"10/01/2018","54.72","56.99","58.37","51.52","3.16B","-3.05%"
"09/01/2018","56.44","57.10","57.42","53.83","2.72B","-0.83%"
"08/01/2018","56.91","49.78","57.22","49.33","2.80B","19.63%"
"07/01/2018","47.57","45.95","48.99","45.85","1.58B","2.79%"
"06/01/2018","46.28","47.00","48.55","45.18","2.11B","-0.94%"
"05/01/2018","46.72","41.60","47.59","41.32","2.48B","13.10%"
"04/01/2018","41.31","41.97","44.73","40.16","2.67B","-1.53%"
"03/01/2018","41.95","44.63","45.88","41.23","2.85B","-5.79%"
"02/01/2018","44.53","41.79","45.15","37.56","3.71B","6.38%"
"01/01/2018","41.86","42.54","45.02","41.17","2.64B","-1.06%"
"12/01/2017","42.31","42.49","44.30","41.62","2.12B","-1.51%"
"11/01/2017","42.96","42.47","44.06","41.32","2.40B","1.66%"
"10/01/2017","42.26","38.56","42.41","38.12","2.02B","9.68%"
"09/01/2017","38.53","41.20","41.23","37.29","2.72B","-6.02%"
"08/01/2017","41.00","37.27","41.13","37.10","2.64B","10.27%"
"07/01/2017","37.18","36.22","38.50","35.60","1.69B","3.25%"
"06/01/2017","36.01","38.29","38.99","35.55","2.74B","-5.71%"
"05/01/2017","38.19","36.27","39.16","36.07","2.62B","6.35%"
"04/01/2017","35.91","35.93","36.37","35.02","1.49B","0.00%"
"03/01/2017","35.91","34.47","36.12","34.26","2.25B","4.85%"
"02/01/2017","34.25","31.76","34.37","31.75","2.30B","12.89%"
"01/01/2017","30.34","28.95","30.61","28.69","2.25B","4.80%"
"12/01/2016","28.95","27.59","29.50","27.06","2.44B","4.78%"
"11/01/2016","27.63","28.36","28.44","26.02","2.89B","-2.68%"
"10/01/2016","28.39","28.18","29.67","28.07","2.75B","0.46%"
"09/01/2016","28.26","26.54","29.05","25.63","3.88B","6.56%"
"08/01/2016","26.52","26.10","27.56","26.00","2.52B","1.80%"
"07/01/2016","26.05","23.87","26.14","23.59","2.74B","9.00%"
"06/01/2016","23.90","24.75","25.47","22.88","3.12B","-4.25%"
"05/01/2016","24.96","23.49","25.18","22.37","3.60B","6.53%"
"04/01/2016","23.43","27.20","28.10","23.13","3.49B","-14.02%"
"03/01/2016","27.25","24.41","27.61","24.36","2.98B","12.74%"
"02/01/2016","24.17","24.12","24.72","23.15","3.24B","-0.70%"
"01/01/2016","24.34","25.65","26.46","23.10","5.09B","-7.52%"
"12/01/2015","26.32","29.69","29.96","26.20","3.69B","-10.99%"
"11/01/2015","29.57","29.97","30.95","27.75","3.00B","-1.04%"
"10/01/2015","29.88","27.27","30.30","26.83","4.45B","8.38%"
"09/01/2015","27.57","27.54","29.22","26.84","4.83B","-2.20%"
"08/01/2015","28.19","30.38","30.64","23.00","6.43B","-7.03%"
"07/01/2015","30.32","31.73","33.24","29.80","4.23B","-3.32%"
"06/01/2015","31.36","32.80","32.85","31.12","3.51B","-3.72%"
"05/01/2015","32.57","31.52","33.24","30.84","3.82B","4.09%"
"04/01/2015","31.29","31.20","33.63","30.77","3.98B","0.58%"
"03/01/2015","31.11","32.31","32.57","30.41","4.55B","-3.14%"
"02/01/2015","32.12","29.51","33.40","29.02","4.55B","9.66%"
"01/01/2015","29.29","27.85","30.00","26.16","5.22B","6.16%"
"12/01/2014","27.59","29.70","29.81","26.57","4.30B","-7.20%"
"11/01/2014","29.73","27.05","29.94","26.93","3.28B","10.11%"
"10/01/2014","27.00","25.15","27.01","23.80","5.44B","7.19%"
"09/01/2014","25.19","25.77","25.93","24.04","6.11B","-1.68%"
"08/01/2014","25.62","23.73","25.73","23.32","3.75B","7.20%"
"07/01/2014","23.90","23.38","24.86","23.14","4.14B","2.88%"
"06/01/2014","23.23","22.64","23.76","22.23","4.83B","2.74%"
"05/01/2014","22.61","21.14","23.01","20.73","5.74B","7.31%"
"04/01/2014","21.07","19.21","21.41","18.26","6.44B","9.91%"
"03/01/2014","19.17","18.69","19.61","18.67","5.01B","2.02%"
"02/01/2014","18.79","17.95","19.69","17.83","5.89B","5.09%"
"01/01/2014","17.88","19.85","20.01","17.63","8.81B","-10.78%"
"12/01/2013","20.04","19.93","20.54","19.24","7.06B","0.91%"
"11/01/2013","19.86","18.71","19.94","18.30","5.23B","6.37%"
"10/01/2013","18.67","17.09","19.26","17.08","7.84B","9.63%"
"09/01/2013","17.03","17.61","18.14","15.97","8.64B","-2.13%"
"08/01/2013","17.40","16.28","18.35","16.19","8.06B","7.67%"
"07/01/2013","16.16","14.38","16.33","14.33","6.54B","14.12%"
"06/01/2013","14.16","16.10","16.23","13.89","7.02B","-11.83%"
"05/01/2013","16.06","15.87","16.63","14.96","9.45B","1.58%"
"04/01/2013","15.81","15.78","15.90","13.75","10.97B","0.00%"
"03/01/2013","15.81","15.64","16.78","14.96","9.18B","0.32%"
"02/01/2013","15.76","16.40","17.32","15.63","9.34B","-3.13%"
"01/01/2013","16.27","19.78","19.82","15.54","13.12B","-14.41%"
"12/01/2012","19.01","21.20","21.24","17.90","12.14B","-9.04%"
"11/01/2012","20.90","21.36","21.54","18.06","12.93B","-1.69%"
"10/01/2012","21.26","23.97","24.17","20.99","12.14B","-10.78%"
"09/01/2012","23.83","23.78","25.18","23.43","9.20B","0.29%"
"08/01/2012","23.76","22.00","24.32","21.44","8.28B","8.94%"
"07/01/2012","21.81","20.88","22.14","20.36","8.91B","4.55%"
"06/01/2012","20.86","20.33","21.07","19.59","7.86B","1.11%"
"05/01/2012","20.63","20.89","21.31","18.65","11.11B","-1.10%"
"04/01/2012","20.86","21.49","23.00","19.82","15.60B","-2.57%"
"03/01/2012","21.41","19.58","22.19","18.44","15.58B","10.53%"
"02/01/2012","19.37","16.37","19.56","16.21","11.37B","18.83%"
"01/01/2012","16.30","14.62","16.37","14.61","6.86B","12.72%"
